tca	ncbi	ko	tcapathway	tcapathname
100141609	XP_001807981			
100141611	XP_001808961			
100141613	XP_001808377			
100141614	XP_001810176	K23543		
100141615	XP_008190595			
100141616	XP_008191226	K16468		
100141618	XP_001812998			
100141619	XP_015836047	K08131	tca04512	ECM-receptor interaction - Tribolium castaneum (red flour beetle)
100141619	XP_015836047	K08131	tca04820	Cytoskeleton in muscle cells - Tribolium castaneum (red flour beetle)
100141621	XP_008191433			
100141622	XP_001811836			
100141623	XP_001812083			
100141625	XP_008199840	K23491	tca04310	Wnt signaling pathway - Tribolium castaneum (red flour beetle)
100141626	XP_008193990	K22073		
100141628	XP_008197058			
100141629	XP_001814678	K23344		
100141633	XP_001815717			
100141635	XP_008195245	K08471		
100141638	XP_001812873	K23792		
100141640	XP_001808010	K00856	tca00230	Purine metabolism - Tribolium castaneum (red flour beetle)
100141640	XP_001808010	K00856	tca01100	
100141640	XP_001808010	K00856	tca01232	Nucleotide metabolism - Tribolium castaneum (red flour beetle)
100141641	XP_001810160	K01326		
100141642	XP_008194137	K23488		
100141643	XP_008194097			
100141645	XP_001812500			
100141646	NP_001164146			
100141647	XP_001815393	K12366	tca04148	Efferocytosis - Tribolium castaneum (red flour beetle)
100141648	XP_015840575			
100141649	XP_008194497	K15102		
100141651	XP_001812914	K08471		
100141652	XP_001814127	K17492		
100141654	XP_008197678	K12460		
100141656	XP_008198996			
100141657	XP_001808512			
100141658	XP_001814494			
100141660	XP_001812473	K07952		
100141662	XP_001813556	K04661	tca04350	TGF-beta signaling pathway - Tribolium castaneum (red flour beetle)
100141664	XP_015836269	K19410		
100141668	XP_001814509			
100141670	XP_015834682			
100141671	XP_008199648	K12379	tca04013	MAPK signaling pathway - fly - Tribolium castaneum (red flour beetle)
100141674	XP_001814264			
100141675	XP_015834786	K08471		
100141676	XP_001815618			
100141678	XP_001808926			
100141679	XP_008195294	K17914	tca04814	Motor proteins - Tribolium castaneum (red flour beetle)
100141680	XP_001809442			
100141681	XP_001807608			
100141682	XP_001813154			
100141683	XP_001809239			
100141684	XP_001813192			
100141686	XP_008192822	K27754		
100141687	NP_001161251			
100141688	XP_008201547	K02374		
100141689	XP_001814259	K18410		
100141690	XP_008199621			
100141691	XP_001810921	K10306		
100141693	XP_001815376			
100141695	XP_008200077			
100141696	XP_008198278			
100141698	NP_001161779			
100141699	XP_001816173			
100141703	XP_008195082	K08471		
100141704	XP_001813100			
100141705	XP_001809514			
100141706	XP_001807705	K08731	tca04215	Apoptosis - multiple species - Tribolium castaneum (red flour beetle)
100141707	XP_001811667			
100141709	XP_001811673			
100141710	XP_008199223	K19352		
100141711	XP_015838988			
100141713	XP_015835994	K01953	tca00250	Alanine, aspartate and glutamate metabolism - Tribolium castaneum (red flour beetle)
100141713	XP_015835994	K01953	tca01100	
100141713	XP_015835994	K01953	tca01230	Biosynthesis of amino acids - Tribolium castaneum (red flour beetle)
100141714	XP_015835694			
100141715	XP_001812612	K20221	tca03013	Nucleocytoplasmic transport - Tribolium castaneum (red flour beetle)
100141718	XP_001815977			
100141719	XP_008198950	K01414		
100141720	XP_001814944			
100141721	XP_001814215	K17973		
100141722	XP_015838738	K22791		
100141723	XP_001810520	K27277		
100141724	XP_001807996			
100141725	XP_001808711	K25439		
100141726	NP_001161227			
100141727	XP_015834862			
100141731	XP_001815752	K02892	tca03010	Ribosome - Tribolium castaneum (red flour beetle)
100141732	XP_008190687			
100141734	XP_008191668	K14302	tca03013	Nucleocytoplasmic transport - Tribolium castaneum (red flour beetle)
100141736	XP_015839667	K10891	tca03460	Fanconi anemia pathway - Tribolium castaneum (red flour beetle)
100141737	XP_001807209	K10398	tca04814	Motor proteins - Tribolium castaneum (red flour beetle)
100141738	XP_008194285			
100141739	XP_001814021			
100141741	XP_001816090			
100141742	XP_008193458	K00558	tca00270	Cysteine and methionine metabolism - Tribolium castaneum (red flour beetle)
100141742	XP_008193458	K00558	tca01100	
100141743	XP_008190278	K10728	tca03440	Homologous recombination - Tribolium castaneum (red flour beetle)
100141744	XP_001815774	K13133		
100141745	XP_008193680	K09228		
100141747	XP_001810290			
100141749	XP_008200457			
100141752	XP_015833653			
100141753	XP_015835317			
100141754	XP_001814285	K22534		
100141755	XP_001808071			
100141756	XP_001808976			
100141757	XP_001811450			
100141759	XP_001812978			
100141760	XP_008197110	K23112		
100141763	XP_015835866	K06254	tca04512	ECM-receptor interaction - Tribolium castaneum (red flour beetle)
100141763	XP_015835866	K06254	tca04820	Cytoskeleton in muscle cells - Tribolium castaneum (red flour beetle)
100141764	XP_001807041			
100141765	XP_015834036	K14388		
100141766	XP_001810808			
100141768	XP_001813804			
100141769	NP_001164095	K12823	tca03040	Spliceosome - Tribolium castaneum (red flour beetle)
100141771	XP_001812942			
100141772	XP_015836790	K24341		
100141773	XP_008198283	K05948	tca00514	Other types of O-glycan biosynthesis - Tribolium castaneum (red flour beetle)
100141773	XP_008198283	K05948	tca04330	Notch signaling pathway - Tribolium castaneum (red flour beetle)
100141776	XP_008198748	K23560		
100141778	XP_001810939			
100141780	XP_008194161	K14950		
100141781	XP_001811897	K18666		
100141786	NP_001135924			
100141787	XP_008192686			
100141788	XP_001813974	K06269	tca03015	mRNA surveillance pathway - Tribolium castaneum (red flour beetle)
100141789	XP_001814003	K01312	tca04080	Neuroactive ligand-receptor interaction - Tribolium castaneum (red flour beetle)
100141790	XP_008197662	K11728	tca03082	ATP-dependent chromatin remodeling - Tribolium castaneum (red flour beetle)
100141793	XP_001815875			
100141798	XP_001810505	K22984		
100141799	XP_001812198	K24029		
100141800	XP_001810604	K24021		
100141804	XP_008193148	K24205		
100141806	XP_001812931			
100141807	XP_015839651	K14388		
100141808	XP_001814302			
100141809	XP_001808987	K17784		
100141810	XP_008195754	K09175		
100141811	XP_001809587	K09228		
100141813	XP_008195883	K09646		
100141814	XP_001814361			
100141815	XP_008195856	K07023	tca00230	Purine metabolism - Tribolium castaneum (red flour beetle)
100141815	XP_008195856	K07023	tca00240	Pyrimidine metabolism - Tribolium castaneum (red flour beetle)
100141815	XP_008195856	K07023	tca01100	
100141815	XP_008195856	K07023	tca01232	Nucleotide metabolism - Tribolium castaneum (red flour beetle)
100141816	XP_015835635			
100141818	XP_001811319	K10758		
100141819	XP_008190857	K14800		
100141820	XP_001807922			
100141821	XP_015834335			
100141822	XP_015839268			
100141823	XP_001808665			
100141824	NP_001280493	K16691	tca04013	MAPK signaling pathway - fly - Tribolium castaneum (red flour beetle)
100141824	NP_001280493	K16691	tca04391	Hippo signaling pathway - fly - Tribolium castaneum (red flour beetle)
100141825	XP_001807299			
100141826	XP_008197467			
100141828	XP_008198805	K01092	tca00562	Inositol phosphate metabolism - Tribolium castaneum (red flour beetle)
100141828	XP_008198805	K01092	tca01100	
100141828	XP_008198805	K01092	tca04070	Phosphatidylinositol signaling system - Tribolium castaneum (red flour beetle)
100141833	XP_008193939			
100141834	XP_008201543			
100141835	XP_015840442			
100141837	XP_008194030			
100141841	XP_001809413	K17595		
100141842	XP_001807502	K09341		
100141843	XP_008191342			
100141844	XP_001813141			
100141846	XP_001812086	K17553		
100141847	XP_001815648			
100141848	XP_001808466	K09008		
100141850	XP_001812325	K14686		
100141851	XP_008191903			
100141852	XP_001812825	K17988		
100141853	XP_008194123			
100141856	XP_001812398			
100141857	XP_001812133			
100141859	XP_001815375	K09228		
100141861	XP_001811685			
100141863	XP_008201220	K14315	tca03013	Nucleocytoplasmic transport - Tribolium castaneum (red flour beetle)
100141864	XP_008192483	K09330		
100141865	XP_008198617			
100141866	XP_008192114	K27896		
100141867	XP_008195463	K00591	tca00130	Ubiquinone and other terpenoid-quinone biosynthesis - Tribolium castaneum (red flour beetle)
100141867	XP_008195463	K00591	tca01100	
100141867	XP_008195463	K00591	tca01240	Biosynthesis of cofactors - Tribolium castaneum (red flour beetle)
100141868	XP_001812431			
100141869	XP_001812549	K13356	tca04146	Peroxisome - Tribolium castaneum (red flour beetle)
100141870	XP_001813892			
100141871	XP_001809287	K14318	tca03013	Nucleocytoplasmic transport - Tribolium castaneum (red flour beetle)
100141872	XP_001809395	K18404		
100141873	XP_008198929			
100141874	XP_001807669			
100141875	XP_001809825			
100141877	XP_008193504			
100141878	XP_001807903			
100141879	XP_008191228			
100141880	XP_008201691			
100141881	XP_008197170			
100141882	XP_001815479			
100141883	XP_001814936	K23664		
100141884	XP_001813024			
100141885	XP_008199092	K18625		
100141886	XP_001811696	K25805		
100141888	XP_015833081	K02649	tca04068	FoxO signaling pathway - Tribolium castaneum (red flour beetle)
100141888	XP_015833081	K02649	tca04070	Phosphatidylinositol signaling system - Tribolium castaneum (red flour beetle)
100141888	XP_015833081	K02649	tca04140	Autophagy - animal - Tribolium castaneum (red flour beetle)
100141888	XP_015833081	K02649	tca04150	mTOR signaling pathway - Tribolium castaneum (red flour beetle)
100141888	XP_015833081	K02649	tca04213	Longevity regulating pathway - multiple species - Tribolium castaneum (red flour beetle)
100141891	XP_001815398			
100141893	XP_015834334			
100141894	XP_008190954			
100141895	XP_001811750	K18740		
100141896	XP_001809545	K22037		
100141898	XP_001814629			
100141899	XP_008195035			
100141902	XP_001815228			
100141905	XP_001811234	K20790		
100141906	XP_001810780			
100141907	XP_001814270	K11376		
100141909	XP_008199507	K06825	tca04350	TGF-beta signaling pathway - Tribolium castaneum (red flour beetle)
100141909	XP_008199507	K06825	tca04820	Cytoskeleton in muscle cells - Tribolium castaneum (red flour beetle)
100141910	XP_001811691			
100141914	XP_015834341	K22984		
100141915	XP_015833664			
100141916	XP_001810854	K07922		
100141918	XP_001812850			
100141919	XP_015833097	K13293	tca00230	Purine metabolism - Tribolium castaneum (red flour beetle)
100141919	XP_015833097	K13293	tca01100	
100141920	XP_008195510			
100141921	XP_008200306			
100141922	XP_001810341	K19737		
100141923	XP_015836791			
100141926	XP_001809056	K10091		
100141927	XP_008195081	K08471		
100141928	XP_015835671			
100141930	XP_001807287	K23863		
100141931	XP_015835643	K09228		
100141932	XP_001810795	K13248	tca00750	Vitamin B6 metabolism - Tribolium castaneum (red flour beetle)
100141932	XP_001810795	K13248	tca01100	
100141932	XP_001810795	K13248	tca01240	Biosynthesis of cofactors - Tribolium castaneum (red flour beetle)
100141933	XP_001812566	K01768	tca00230	Purine metabolism - Tribolium castaneum (red flour beetle)
100141933	XP_001812566	K01768	tca01100	
100141933	XP_001812566	K01768	tca04213	Longevity regulating pathway - multiple species - Tribolium castaneum (red flour beetle)
100141934	XP_001811932			
100141935	XP_008198006			
100141936	XP_008197698			
100141937	XP_001814185	K01942	tca00780	Biotin metabolism - Tribolium castaneum (red flour beetle)
100141937	XP_001814185	K01942	tca01100	
100141939	XP_008192506	K24931		
100141940	XP_001811917	K17675		
100141941	XP_015837481	K14726		
100141942	XP_008201074			
100141944	XP_001814592	K24927		
100141947	XP_001809637			
100141948	XP_001809806	K01904	tca00130	Ubiquinone and other terpenoid-quinone biosynthesis - Tribolium castaneum (red flour beetle)
100141948	XP_001809806	K01904	tca01100	
100141949	XP_001813387	K19332		
100141950	XP_001812052	K10769		
100141951	XP_001808385			
100141952	XP_001807290			
100141953	XP_015838641			
100141954	XP_001812575	K17925		
100141955	XP_008193951			
100141956	XP_001814199	K10609	tca03420	Nucleotide excision repair - Tribolium castaneum (red flour beetle)
100141956	XP_001814199	K10609	tca04120	Ubiquitin mediated proteolysis - Tribolium castaneum (red flour beetle)
100141957	XP_001809953			
100141960	XP_001812550	K16535		
100141961	XP_015834986	K01052	tca00100	Steroid biosynthesis - Tribolium castaneum (red flour beetle)
100141961	XP_015834986	K01052	tca04142	Lysosome - Tribolium castaneum (red flour beetle)
100141961	XP_015834986	K01052	tca04148	Efferocytosis - Tribolium castaneum (red flour beetle)
100141963	XP_001810229			
100141964	XP_015834333			
100141965	XP_001815085			
100141966	XP_015839861			
100141967	XP_001809245	K01047	tca00564	Glycerophospholipid metabolism - Tribolium castaneum (red flour beetle)
100141967	XP_001809245	K01047	tca00565	Ether lipid metabolism - Tribolium castaneum (red flour beetle)
100141967	XP_001809245	K01047	tca00590	Arachidonic acid metabolism - Tribolium castaneum (red flour beetle)
100141967	XP_001809245	K01047	tca00592	alpha-Linolenic acid metabolism - Tribolium castaneum (red flour beetle)
100141967	XP_001809245	K01047	tca01100	
100141968	XP_008192928	K15031		
100141971	XP_008199594	K22866		
100141972	XP_001811012			
100141973	XP_001809520			
100141976	XP_001810245	K24723	tca04814	Motor proteins - Tribolium castaneum (red flour beetle)
100141977	XP_015837643	K05410	tca04137	Mitophagy - animal - Tribolium castaneum (red flour beetle)
100141977	XP_015837643	K05410	tca04140	Autophagy - animal - Tribolium castaneum (red flour beetle)
100141980	XP_001812329			
100141981	XP_015839397			
100141982	NP_001127700	K10718	tca00981	Insect hormone biosynthesis - Tribolium castaneum (red flour beetle)
100141983	XP_008198149			
100141984	XP_001811434	K04384		
100141985	XP_008196470			
100141988	XP_008190836			
100141989	NP_001182329			
100141991	XP_008200845	K21246	tca04140	Autophagy - animal - Tribolium castaneum (red flour beetle)
100141992	XP_001813224	K02213		
100141993	XP_001811853	K15731		
100141996	XP_001807104	K14724		
100141997	XP_001806936			
100141998	XP_001809010	K09273		
100142000	XP_001812776	K25743		
100142001	XP_001811292			
100142002	XP_001811380	K15438		
100142003	XP_008194511			
100142004	XP_001811901	K22559		
100142007	XP_008192084	K09207		
100142008	XP_008197689			
100142009	XP_001808147	K16912		
100142010	XP_008193581			
100142011	XP_008197617			
100142012	XP_001814862			
100142013	XP_008197972			
100142014	XP_001808125			
100142015	XP_015839648	K14388		
100142016	XP_001814398			
100142017	XP_001810860			
100142020	NP_001123994			
100142021	XP_001808773			
100142023	XP_001814337	K25789		
100142024	XP_008196774	K26100		
100142025	XP_001815603	K09228		
100142029	XP_001813599	K18496		
100142030	XP_001816051			
100142031	XP_015837971	K10758		
100142032	XP_008190803			
100142033	XP_001814267			
100142034	XP_001816440			
100142035	XP_015840839			
100142037	XP_001807284			
100142038	XP_008190387	K08059		
100142039	XP_008191200			
100142040	XP_001813225			
100142041	XP_001812551			
100142043	XP_008194894			
100142044	XP_001810019			
100142046	XP_001812159			
100142047	XP_015837295	K13804	tca04745	Phototransduction - fly - Tribolium castaneum (red flour beetle)
100142048	XP_008193989	K17339		
100142049	XP_008200153			
100142050	XP_001810419			
100142051	XP_008191884			
100142053	XP_001812039	K10263		
100142054	XP_001812199			
100142056	XP_008199344			
100142057	XP_015835161			
100142058	XP_001811130			
100142059	XP_015837684			
100142060	XP_001812786	K10848	tca03420	Nucleotide excision repair - Tribolium castaneum (red flour beetle)
100142060	XP_001812786	K10848	tca03460	Fanconi anemia pathway - Tribolium castaneum (red flour beetle)
100142061	XP_001811305	K13100		
100142062	XP_001813896	K06816		
100142064	XP_001809744	K20186		
100142065	XP_001811345	K10420	tca04814	Motor proteins - Tribolium castaneum (red flour beetle)
100142066	XP_001815455			
100142067	XP_001813665			
100142069	XP_001812694			
100142070	XP_001814014	K26244		
100142073	XP_015837056			
100142074	XP_001810308			
100142079	XP_001815244			
100142080	XP_001812383	K12841	tca03040	Spliceosome - Tribolium castaneum (red flour beetle)
100142081	XP_008193879			
100142082	XP_001814647			
100142083	XP_001807780			
100142084	XP_008193479	K25802		
100142085	NP_001161926			
100142086	XP_008197596	K23841		
100142087	XP_008198895	K11972		
100142088	XP_001809620	K15005		
100142089	XP_001808877			
100142091	XP_015837936	K13356	tca04146	Peroxisome - Tribolium castaneum (red flour beetle)
100142092	XP_001807213	K11125	tca03015	mRNA surveillance pathway - Tribolium castaneum (red flour beetle)
100142093	XP_001809624			
100142094	XP_015835761	K19870		
100142095	XP_008194303			
100142097	XP_001814166			
100142099	XP_001815790	K16285		
100142102	XP_001810886	K07541	tca00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis - Tribolium castaneum (red flour beetle)
100142102	XP_001810886	K07541	tca01100	
100142103	XP_001811794			
100142105	XP_001813407			
100142107	XP_015838512			
100142108	XP_001814757	K20346		
100142109	XP_001812695			
100142111	XP_001809489	K22066		
100142113	XP_008194611			
100142115	XP_001810813			
100142116	XP_015834460	K17350		
100142117	NP_001137202	K26204		
100142119	XP_015835324	K14943		
100142120	XP_001810435			
100142121	XP_001812465	K14775		
100142122	XP_015840416	K11275		
100142123	XP_001810857			
100142124	XP_001810867			
100142126	XP_015839188	K03945	tca00190	Oxidative phosphorylation - Tribolium castaneum (red flour beetle)
100142126	XP_015839188	K03945	tca01100	
100142127	XP_001811565	K16194		
100142128	XP_008194085	K10867	tca03440	Homologous recombination - Tribolium castaneum (red flour beetle)
100142131	XP_001814498			
100142132	XP_001810980			
100142133	XP_001812598	K23518		
100142134	XP_001813433	K09552		
100142135	XP_001809262	K13164		
100142136	XP_001814158	K26469		
100142138	XP_001815253	K08471		
100142139	XP_001815657			
100142140	XP_008198507			
100142141	XP_015839157	K01052	tca00100	Steroid biosynthesis - Tribolium castaneum (red flour beetle)
100142141	XP_015839157	K01052	tca04142	Lysosome - Tribolium castaneum (red flour beetle)
100142141	XP_015839157	K01052	tca04148	Efferocytosis - Tribolium castaneum (red flour beetle)
100142142	XP_008194514			
100142143	XP_015834885			
100142144	NP_001137598	K08471		
100142148	XP_001811753			
100142149	XP_001813274	K20009	tca04214	Apoptosis - fly - Tribolium castaneum (red flour beetle)
100142149	XP_001813274	K20009	tca04215	Apoptosis - multiple species - Tribolium castaneum (red flour beetle)
100142151	XP_015838857			
100142152	XP_001812538	K25818		
100142153	XP_008198712	K22984		
100142154	XP_015836078			
100142155	XP_008194267			
100142156	XP_001808390			
100142159	XP_008194425	K24501		
100142160	NP_001137323			
100142161	XP_001816025			
100142163	XP_008201359			
100142164	XP_008192313			
100142166	XP_001809957			
100142167	XP_001810064	K15322		
100142168	XP_001808109	K09427		
100142170	XP_001810169			
100142172	XP_001813445			
100142173	XP_015840826			
100142174	XP_008192193			
100142175	XP_008198827			
100142180	NP_001164145	K04396		
100142181	XP_001812679	K08635		
100142182	XP_015837329			
100142184	XP_001812041	K10268		
100142185	XP_015838267			
100142186	XP_008199619			
100142187	NP_001127701	K10718	tca00981	Insect hormone biosynthesis - Tribolium castaneum (red flour beetle)
100142188	XP_015840220			
100142189	XP_001811015	K24195		
100142190	XP_001815425			
100142193	XP_008200185			
100142194	XP_015834414			
100142195	XP_001812169	K12896	tca03040	Spliceosome - Tribolium castaneum (red flour beetle)
100142196	XP_001810773	K09828	tca00100	Steroid biosynthesis - Tribolium castaneum (red flour beetle)
100142196	XP_001810773	K09828	tca01100	
100142197	XP_008194106			
100142198	XP_001811995			
100142200	XP_001809788			
100142201	XP_001807841			
100142202	XP_001811806	K04575		
100142203	XP_001810629	K15202		
100142205	XP_008194489	K14972		
100142206	XP_008192486			
100142207	XP_001811241			
100142208	XP_001807516			
100142209	XP_001811323	K16353		
100142210	XP_001814896			
100142211	XP_015838284			
100142212	XP_001814294			
100142215	XP_015833440	K04698		
100142216	XP_008197688	K11886		
100142217	XP_001807060	K19599		
100142219	NP_001155992			
100142223	XP_008197591			
100142224	XP_001814704			
100142225	XP_008200025	K11318		
100142226	XP_008194293	K14388		
100142227	XP_001814071			
100142228	XP_001814310			
100142231	XP_008190797			
100142232	XP_001816436	K12384	tca04142	Lysosome - Tribolium castaneum (red flour beetle)
100142233	XP_008194975	K19750		
100142234	XP_001816128	K11128	tca03008	Ribosome biogenesis in eukaryotes - Tribolium castaneum (red flour beetle)
100142235	XP_015837476			
100142236	XP_015836034	K07299	tca04148	Efferocytosis - Tribolium castaneum (red flour beetle)
100142237	XP_008197503			
100142238	XP_001814401			
100142239	XP_015836426			
100142240	XP_001808363			
100142242	XP_008195350	K02360	tca04320	Dorso-ventral axis formation - Tribolium castaneum (red flour beetle)
100142243	XP_008197469			
100142244	XP_015838128			
100142245	XP_001807632	K24502		
100142246	XP_015839971	K09640		
100142247	XP_001815706			
100142248	XP_001808223	K07253	tca00350	Tyrosine metabolism - Tribolium castaneum (red flour beetle)
100142248	XP_001808223	K07253	tca00360	Phenylalanine metabolism - Tribolium castaneum (red flour beetle)
100142248	XP_001808223	K07253	tca01100	
100142249	XP_001812033	K11976		
100142250	XP_001813427			
100142251	XP_008193987			
100142252	XP_015839946			
100142253	XP_015840450			
100142254	XP_008198197	K16831		
100142255	XP_015834422			
100142256	XP_015836529	K16572		
100142257	XP_008191746	K00699	tca00040	Pentose and glucuronate interconversions - Tribolium castaneum (red flour beetle)
100142257	XP_008191746	K00699	tca00053	Ascorbate and aldarate metabolism - Tribolium castaneum (red flour beetle)
100142257	XP_008191746	K00699	tca00830	Retinol metabolism - Tribolium castaneum (red flour beetle)
100142257	XP_008191746	K00699	tca00860	Porphyrin metabolism - Tribolium castaneum (red flour beetle)
100142257	XP_008191746	K00699	tca00980	Metabolism of xenobiotics by cytochrome P450 - Tribolium castaneum (red flour beetle)
100142257	XP_008191746	K00699	tca00982	Drug metabolism - cytochrome P450 - Tribolium castaneum (red flour beetle)
100142257	XP_008191746	K00699	tca00983	Drug metabolism - other enzymes - Tribolium castaneum (red flour beetle)
100142257	XP_008191746	K00699	tca01100	
100142257	XP_008191746	K00699	tca01240	Biosynthesis of cofactors - Tribolium castaneum (red flour beetle)
100142258	XP_008193225			
100142259	XP_008198287	K15447		
100142261	XP_008191162	K22910		
100142262	XP_001812744	K27909		
100142263	XP_008191520			
100142264	XP_001813626	K25166		
100142266	XP_001813375	K05662	tca02010	ABC transporters - Tribolium castaneum (red flour beetle)
100142267	XP_008194131	K07190		
100142268	XP_001810409	K19986		
100142269	XP_001812645			
100142270	XP_001816367			
100142271	XP_001813975	K23539		
100142272	XP_001814293	K13703		
100142274	XP_001811587	K13524	tca00250	Alanine, aspartate and glutamate metabolism - Tribolium castaneum (red flour beetle)
100142274	XP_001811587	K13524	tca00280	Valine, leucine and isoleucine degradation - Tribolium castaneum (red flour beetle)
100142274	XP_001811587	K13524	tca00410	beta-Alanine metabolism - Tribolium castaneum (red flour beetle)
100142274	XP_001811587	K13524	tca00640	Propanoate metabolism - Tribolium castaneum (red flour beetle)
100142274	XP_001811587	K13524	tca00650	Butanoate metabolism - Tribolium castaneum (red flour beetle)
100142274	XP_001811587	K13524	tca01100	
100142275	XP_001811926			
100142277	XP_008191667			
100142278	XP_001812334	K11649	tca03082	ATP-dependent chromatin remodeling - Tribolium castaneum (red flour beetle)
100142279	XP_001809693	K04874		
100142281	XP_015837026			
100142283	XP_001811283	K01312	tca04080	Neuroactive ligand-receptor interaction - Tribolium castaneum (red flour beetle)
100142286	XP_001812142	K21232	tca04122	Sulfur relay system - Tribolium castaneum (red flour beetle)
100142289	XP_001812950	K08220		
100142290	XP_008194500			
100142292	XP_015833071	K24095		
100142293	XP_001812267	K13728		
100142294	XP_001807061			
100142296	XP_015840675	K15174		
100142297	XP_015834328			
100142298	XP_001814418			
100142300	XP_008200663	K22735		
100142301	NP_001138950	K04256		
100142302	XP_001816157	K09228		
100142303	XP_008192063			
100142304	NP_001137203	K05336		
100142306	XP_001813376			
100142307	XP_001812043			
100142308	XP_008194736			
100142309	XP_001810703			
100142311	XP_001815490	K12350	tca00600	Sphingolipid metabolism - Tribolium castaneum (red flour beetle)
100142311	XP_001815490	K12350	tca01100	
100142311	XP_001815490	K12350	tca04142	Lysosome - Tribolium castaneum (red flour beetle)
100142315	XP_008201675			
100142316	XP_008195539	K13915		
100142317	NP_001164199	K03283	tca03040	Spliceosome - Tribolium castaneum (red flour beetle)
100142317	NP_001164199	K03283	tca04141	Protein processing in endoplasmic reticulum - Tribolium castaneum (red flour beetle)
